setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
B,47,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.18372450211134292,12.69621636885352,33.40037876653097,2.338807811641991,94.51634763705512,0.01421118681616193,0.01421118681616193,0.0
B,47,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.169513315295181,4.548517965029596,54.16004815660473,0.6317583012360916,263.8221964171383,0.0,0.0,0.0
B,89,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.15385955676044302,7.666506805296895,18.809292475245066,0.8480922322388424,156.52500290574832,0.02113852224116039,0.02113852224116039,0.0
B,89,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.3192558324081675,4.940704066759865,32.26826127073868,1.426713674179924,242.8803635622029,0.18653479788888488,0.18653479788888488,0.0
B,89,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.46432213043440557,9.766684245771907,44.307721412881996,1.817005495400363,122.86667304836031,0.33160109591512293,0.33160109591512293,0.0
B,89,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.16627738093757122,18.726764733070457,25.527155784740756,1.054927763471615,64.07940811289347,0.033556346418288585,0.033556346418288585,0.0
B,89,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.16429885992790272,128.29852146492877,12.502322790765827,3.052752008232013,74.82549206599745,0.031577825408620086,0.031577825408620086,0.0
B,89,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.12387657176270238,1199.999999999999,26.71817800075676,0.0,1.0,-0.008844462756580254,-0.008844462756580254,0.0
B,89,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.15385955676044302,7.666506805296895,18.809292475245066,0.8480922322388424,156.52500290574832,0.02113852224116039,0.02113852224116039,0.0
B,89,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.13272103451928263,40.840697219407524,47.41246750796283,0.052924695828207566,29.382456261100252,0.0,0.0,0.0
B,131,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.16589484278430192,15.309903454590025,37.41272187068177,0.5555118318101298,78.3806379630396,0.03616536346606569,0.03616536346606569,0.0
B,131,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.12972947931823622,1192.4143519210336,37.97026066305549,0.0016354774893099265,1.00636158707047,0.0,0.0,0.0
B,131,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.19629802885940598,8.868802216767481,88.26656622747821,1.9473037699377116,135.3057572673529,0.06656854954116975,0.06656854954116975,0.0
B,131,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.19629802885940598,8.868802216767481,88.26656622747821,1.9473037699377116,135.3057572673529,0.06656854954116975,0.06656854954116975,0.0
B,131,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.167064651695626,116.76562809944716,28.652180773604357,2.7605132114487603,82.2159753363883,0.037335172377389786,0.037335172377389786,0.0
B,131,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.1292271789610075,1199.999999999999,18.422140052700225,0.0,1.0,-0.0005023003572287299,-0.0005023003572287299,0.0
B,131,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.16589484278430192,15.309903454590025,37.41272187068177,0.5555118318101298,78.3806379630396,0.03616536346606569,0.03616536346606569,0.0
B,131,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.12972947931823622,1192.4143519210336,37.97026066305549,0.0016354774893099265,1.00636158707047,0.0,0.0,0.0
C,11,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.20359661114355868,144.8053870071575,48.21230875195656,0.07564707315077171,8.286984514249024,0.004986021472328711,0.004986021472328711,0.0
C,11,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.19861058967122996,881.3432131959634,49.250088778744676,0.021156761755179745,1.3615581100412633,0.0,0.0,0.0
C,11,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2759266750083238,52.03445335266255,48.81018998122917,0.048387021645463234,23.061643245726117,0.07731608533709383,0.07731608533709383,0.0
C,11,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2759266750083238,52.03445335266255,48.81018998122917,0.048387021645463234,23.061643245726117,0.07731608533709383,0.07731608533709383,0.0
C,11,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2295202233688364,53.84617070832619,6.381362334228609,0.16868940901015633,178.28565842959136,0.030909633697606437,0.030909633697606437,0.0
